size:8,8;
redTexture:
41,13,61,41,44,13,13,41,
74,61,61,61,61,61,61,92,
61,125,125,61,92,61,92,150,
92,150,125,92,61,125,92,125,
125,92,61,92,92,92,150,125,
92,125,150,125,125,92,125,61,
125,92,92,125,61,61,150,125,
92,125,92,125,125,92,125,61,
greenTexture:
110,161,28,110,148,161,161,110,
74,28,28,28,28,28,28,52,
28,63,63,28,52,28,52,94,
52,94,63,52,28,63,52,63,
63,52,28,52,52,52,94,63,
52,63,94,63,63,52,63,28,
63,52,52,63,28,28,94,63,
52,63,52,63,63,52,63,28,
blueTexture:
43,18,18,43,48,18,18,43,
74,18,18,18,18,18,18,41,
18,43,43,18,41,18,41,51,
41,51,43,41,18,43,41,43,
43,41,18,41,41,41,51,43,
41,43,51,43,43,41,43,18,
43,41,41,43,18,18,51,43,
41,43,41,43,43,41,43,18,
alphaTexture:
255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,
