size:8,8;
redTexture:
75,75,75,113,75,75,75,75,
75,75,75,113,75,75,75,75,
75,75,75,113,75,75,75,75,
113,113,113,75,113,113,113,75,
75,75,75,75,75,75,75,113,
75,75,75,75,75,75,75,113,
75,75,75,75,75,75,75,113,
113,113,113,113,113,113,113,75,
greenTexture:
80,80,80,125,80,80,80,80,
80,80,80,125,80,80,80,80,
80,80,80,125,80,80,80,80,
125,125,125,80,125,125,125,80,
80,80,80,80,80,80,80,125,
80,80,80,80,80,80,80,125,
80,80,80,80,80,80,80,125,
125,125,125,125,125,125,125,80,
blueTexture:
92,92,92,153,92,92,92,92,
92,92,92,153,92,92,92,92,
92,92,92,153,92,92,92,92,
153,153,153,92,153,153,153,92,
92,92,92,92,92,92,92,153,
92,92,92,92,92,92,92,153,
92,92,92,92,92,92,92,153,
153,153,153,153,153,153,153,92,
alphaTexture:
255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,
