size:13,14;
redTexture:
0,0,0,0,0,0,95,0,0,0,0,0,0,
0,0,0,0,0,76,76,95,0,0,0,95,0,
0,0,0,0,0,76,98,95,0,0,76,95,0,
0,0,0,0,95,149,98,123,76,95,123,0,0,
0,0,95,123,95,82,123,76,123,149,123,0,0,
95,0,95,149,170,123,61,76,123,170,123,0,0,
95,95,95,98,123,201,149,98,98,170,123,95,76,
95,149,95,76,98,149,149,123,98,170,95,76,123,
0,76,95,95,76,123,149,149,78,170,123,123,123,
95,95,76,76,78,123,149,149,78,95,95,61,98,
0,95,187,149,149,76,141,149,61,123,123,76,95,
0,95,95,170,187,123,61,123,49,123,123,76,0,
0,0,0,76,123,123,49,61,123,98,95,0,0,
0,0,0,0,0,76,50,95,49,76,0,0,0,
greenTexture:
0,0,0,0,0,0,150,0,0,0,0,0,0,
0,0,0,0,0,120,120,150,0,0,0,150,0,
0,0,0,0,0,120,139,150,0,0,120,150,0,
0,0,0,0,150,190,139,173,120,150,173,0,0,
0,0,150,173,150,110,173,120,173,190,173,0,0,
150,0,150,190,203,173,96,120,173,203,173,0,0,
150,150,150,139,173,222,190,139,139,203,173,150,120,
150,190,150,120,139,190,190,173,139,203,150,120,173,
0,120,150,150,120,173,190,190,111,203,173,173,173,
150,150,120,120,111,173,190,190,111,150,150,96,139,
0,150,214,190,190,120,163,190,96,173,173,120,150,
0,150,150,203,214,173,96,173,77,173,173,120,0,
0,0,0,120,173,173,77,96,173,139,150,0,0,
0,0,0,0,0,120,71,150,77,120,0,0,0,
blueTexture:
0,0,0,0,0,0,100,0,0,0,0,0,0,
0,0,0,0,0,80,80,100,0,0,0,100,0,
0,0,0,0,0,80,103,100,0,0,80,100,0,
0,0,0,0,100,154,103,128,80,100,128,0,0,
0,0,100,128,100,84,128,80,128,154,128,0,0,
100,0,100,154,174,128,64,80,128,174,128,0,0,
100,100,100,103,128,203,154,103,103,174,128,100,80,
100,154,100,80,103,154,154,128,103,174,100,80,128,
0,80,100,100,80,128,154,154,82,174,128,128,128,
100,100,80,80,82,128,154,154,82,100,100,64,103,
0,100,190,154,154,80,145,154,64,128,128,80,100,
0,100,100,174,190,128,64,128,51,128,128,80,0,
0,0,0,80,128,128,51,64,128,103,100,0,0,
0,0,0,0,0,80,53,100,51,80,0,0,0,
alphaTexture:
0,0,0,0,0,0,255,0,0,0,0,0,0,
0,0,0,0,0,255,255,255,0,0,0,255,0,
0,0,0,0,0,255,255,255,0,0,255,255,0,
0,0,0,0,255,255,255,255,255,255,255,0,0,
0,0,255,255,255,255,255,255,255,255,255,0,0,
255,0,255,255,255,255,255,255,255,255,255,0,0,
255,255,255,255,255,255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,255,255,255,255,255,
0,255,255,255,255,255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,255,255,255,255,255,
0,255,255,255,255,255,255,255,255,255,255,255,255,
0,255,255,255,255,255,255,255,255,255,255,255,0,
0,0,0,255,255,255,255,255,255,255,255,0,0,
0,0,0,0,0,255,255,255,255,255,0,0,0,
origin:6,7;
