size:28,8;
redTexture:
114,114,63,63,63,63,63,84,84,63,63,0,0,63,63,0,0,63,84,84,84,84,63,63,63,63,114,114,
114,255,0,0,84,0,84,84,84,84,84,84,0,84,84,0,0,0,0,84,84,84,0,0,0,0,255,114,
255,0,0,0,0,0,0,84,84,84,84,0,84,153,153,84,0,84,84,84,84,0,0,0,0,0,0,255,
0,0,0,0,0,0,0,0,0,0,0,84,153,0,0,153,153,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,84,153,255,0,153,84,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,84,153,153,84,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
greenTexture:
8,8,72,72,72,72,72,135,135,72,72,0,0,72,72,0,0,72,135,135,135,135,72,72,72,72,8,8,
8,255,0,0,135,162,135,135,135,135,135,135,0,135,135,0,162,162,162,135,135,135,162,162,0,0,255,8,
255,0,0,0,0,0,0,135,135,135,135,0,135,217,217,135,0,135,135,135,135,0,0,0,0,0,0,255,
0,0,0,0,0,0,0,0,0,162,0,135,217,162,162,217,217,0,162,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,135,217,255,162,217,135,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,135,217,217,135,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,135,135,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
blueTexture:
153,153,204,204,204,204,204,255,255,204,204,0,0,204,204,0,0,204,255,255,255,255,204,204,204,204,153,153,
153,255,0,0,255,232,255,255,255,255,255,255,0,255,255,0,232,232,232,255,255,255,232,232,0,0,255,153,
255,0,0,0,0,0,0,255,255,255,255,0,255,234,234,255,0,255,255,255,255,0,0,0,0,0,0,255,
0,0,0,0,0,0,0,0,0,232,0,255,234,232,232,234,234,0,232,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,255,234,255,232,234,255,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,255,234,234,255,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
alphaTexture:
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,
255,255,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,0,255,255,
255,0,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,0,0,0,0,0,255,
0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,
