size:32,30;
redTexture:
0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,59,59,59,59,59,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,59,59,110,171,143,143,143,143,110,59,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,59,171,171,143,143,143,143,143,143,143,143,59,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,59,110,171,143,143,143,143,143,143,143,143,143,143,59,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,59,110,171,171,171,171,171,143,143,143,171,143,143,59,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,43,110,110,143,143,171,171,171,171,171,171,171,143,59,59,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,59,110,110,110,110,110,143,143,171,171,171,143,59,74,43,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,43,43,74,110,110,110,110,110,110,74,74,59,59,59,74,59,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,43,74,43,43,74,74,74,74,110,74,74,59,59,74,74,43,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,43,74,143,143,143,110,110,110,74,74,74,74,59,43,59,43,43,59,59,59,0,0,0,0,
0,0,0,0,0,0,0,43,74,74,143,143,110,110,110,110,110,110,110,59,43,43,74,74,59,110,110,110,59,0,0,0,
0,0,0,0,0,0,0,43,74,74,143,143,143,110,110,110,110,143,110,59,59,43,74,59,110,110,110,143,59,0,0,0,
0,0,0,0,59,59,59,43,43,74,110,110,143,143,143,143,143,143,110,74,74,74,74,110,110,110,110,143,59,0,0,0,
0,0,0,59,110,110,143,143,110,43,74,74,110,110,143,143,143,110,110,59,74,110,110,110,110,110,143,143,43,59,0,0,
0,0,0,59,143,110,110,110,143,143,143,74,74,74,74,74,59,43,59,59,74,143,110,110,143,143,143,110,74,74,43,0,
0,0,0,59,143,110,110,110,110,143,110,74,74,74,74,74,43,43,59,74,74,110,143,143,143,143,110,110,74,74,74,59,
0,0,0,43,110,143,143,110,110,110,110,74,74,74,74,59,43,43,43,59,74,74,74,74,74,59,43,59,74,74,74,43,
0,0,59,74,74,110,143,143,143,110,110,74,110,143,110,110,110,110,110,110,59,74,74,74,74,59,43,43,59,74,74,43,
0,0,43,74,74,74,74,59,43,43,59,74,143,110,110,110,110,110,143,110,110,74,74,74,59,43,43,43,59,59,74,43,
0,0,43,74,74,74,74,59,59,43,59,74,143,110,110,110,110,110,110,143,110,74,74,74,59,110,143,110,110,43,74,43,
0,0,43,143,143,110,110,110,110,43,43,59,143,143,143,143,110,110,143,143,110,74,74,59,110,110,110,143,143,74,74,43,
0,43,143,143,110,110,110,110,143,110,43,59,110,110,143,143,143,143,143,143,110,74,74,143,110,110,110,143,43,59,74,43,
0,43,110,143,143,143,143,143,143,110,59,74,74,74,74,110,110,143,143,110,110,74,74,110,143,143,143,110,43,43,74,43,
0,43,74,74,59,110,143,143,110,110,74,74,74,74,74,74,59,43,43,59,43,74,74,74,74,74,59,43,43,43,59,43,
43,74,74,74,74,59,43,43,43,59,74,74,74,74,74,74,59,43,43,43,59,74,74,74,74,74,59,43,43,43,43,0,
43,74,74,74,74,59,43,43,43,59,74,74,74,74,74,74,59,59,43,43,59,59,74,74,74,74,74,43,43,43,43,0,
43,74,74,74,59,59,43,43,59,59,74,74,74,74,74,74,74,59,43,43,43,59,59,74,74,74,74,59,43,43,43,0,
43,74,74,74,59,43,43,43,59,74,74,74,74,74,74,74,74,59,43,43,43,43,59,74,74,74,59,43,43,43,0,0,
0,43,43,43,43,43,43,43,43,74,74,74,74,74,74,74,74,43,43,43,43,43,43,43,43,43,43,43,0,0,0,0,
0,0,0,0,0,0,0,0,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,0,0,0,0,0,0,0,0,0,
greenTexture:
0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,38,38,38,38,38,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,38,38,105,178,144,144,144,144,105,38,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,38,178,178,144,144,144,144,144,144,144,144,38,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,38,105,178,144,144,144,144,144,144,144,144,144,144,38,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,38,105,178,178,178,178,178,144,144,144,178,144,144,38,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,23,105,105,144,144,178,178,178,178,178,178,178,144,38,38,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,38,105,105,105,105,105,144,144,178,178,178,144,38,56,23,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,23,23,56,105,105,105,105,105,105,56,56,38,38,38,56,38,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,23,56,23,23,56,56,56,56,105,56,56,38,38,56,56,23,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,23,56,144,144,144,105,105,105,56,56,56,56,38,23,38,23,23,38,38,38,0,0,0,0,
0,0,0,0,0,0,0,23,56,56,144,144,105,105,105,105,105,105,105,38,23,23,56,56,38,105,105,105,38,0,0,0,
0,0,0,0,0,0,0,23,56,56,144,144,144,105,105,105,105,144,105,38,38,23,56,38,105,105,105,144,38,0,0,0,
0,0,0,0,38,38,38,23,23,56,105,105,144,144,144,144,144,144,105,56,56,56,56,105,105,105,105,144,38,0,0,0,
0,0,0,38,105,105,144,144,105,23,56,56,105,105,144,144,144,105,105,38,56,105,105,105,105,105,144,144,23,38,0,0,
0,0,0,38,144,105,105,105,144,144,144,56,56,56,56,56,38,23,38,38,56,144,105,105,144,144,144,105,56,56,23,0,
0,0,0,38,144,105,105,105,105,144,105,56,56,56,56,56,23,23,38,56,56,105,144,144,144,144,105,105,56,56,56,38,
0,0,0,23,105,144,144,105,105,105,105,56,56,56,56,38,23,23,23,38,56,56,56,56,56,38,23,38,56,56,56,23,
0,0,38,56,56,105,144,144,144,105,105,56,105,144,105,105,105,105,105,105,38,56,56,56,56,38,23,23,38,56,56,23,
0,0,23,56,56,56,56,38,23,23,38,56,144,105,105,105,105,105,144,105,105,56,56,56,38,23,23,23,38,38,56,23,
0,0,23,56,56,56,56,38,38,23,38,56,144,105,105,105,105,105,105,144,105,56,56,56,38,105,144,105,105,23,56,23,
0,0,23,144,144,105,105,105,105,23,23,38,144,144,144,144,105,105,144,144,105,56,56,38,105,105,105,144,144,56,56,23,
0,23,144,144,105,105,105,105,144,105,23,38,105,105,144,144,144,144,144,144,105,56,56,144,105,105,105,144,23,38,56,23,
0,23,105,144,144,144,144,144,144,105,38,56,56,56,56,105,105,144,144,105,105,56,56,105,144,144,144,105,23,23,56,23,
0,23,56,56,38,105,144,144,105,105,56,56,56,56,56,56,38,23,23,38,23,56,56,56,56,56,38,23,23,23,38,23,
23,56,56,56,56,38,23,23,23,38,56,56,56,56,56,56,38,23,23,23,38,56,56,56,56,56,38,23,23,23,23,0,
23,56,56,56,56,38,23,23,23,38,56,56,56,56,56,56,38,38,23,23,38,38,56,56,56,56,56,23,23,23,23,0,
23,56,56,56,38,38,23,23,38,38,56,56,56,56,56,56,56,38,23,23,23,38,38,56,56,56,56,38,23,23,23,0,
23,56,56,56,38,23,23,23,38,56,56,56,56,56,56,56,56,38,23,23,23,23,38,56,56,56,38,23,23,23,0,0,
0,23,23,23,23,23,23,23,23,56,56,56,56,56,56,56,56,23,23,23,23,23,23,23,23,23,23,23,0,0,0,0,
0,0,0,0,0,0,0,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,0,0,0,0,0,0,0,0,0,
blueTexture:
0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71,71,71,71,71,71,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,71,71,145,204,179,179,179,179,145,71,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,71,204,204,179,179,179,179,179,179,179,179,71,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,71,145,204,179,179,179,179,179,179,179,179,179,179,71,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,71,145,204,204,204,204,204,179,179,179,204,179,179,71,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,48,145,145,179,179,204,204,204,204,204,204,204,179,71,71,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,71,145,145,145,145,145,179,179,204,204,204,179,71,94,48,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,48,48,94,145,145,145,145,145,145,94,94,71,71,71,94,71,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,48,94,48,48,94,94,94,94,145,94,94,71,71,94,94,48,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,48,94,179,179,179,145,145,145,94,94,94,94,71,48,71,48,48,71,71,71,0,0,0,0,
0,0,0,0,0,0,0,48,94,94,179,179,145,145,145,145,145,145,145,71,48,48,94,94,71,145,145,145,71,0,0,0,
